"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: dataset","Param: stringManipulation"
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"638,525975","5,678403","MB/sec",test_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"7154158172,400000","50991,913709","B/op",test_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"625,952411","16,208717","MB/sec",test_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"7013086003,200000","148657350,145497","B/op",test_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"3,119728","1,155594","MB/sec",test_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"34953389,600000","12973309,976300","B/op",test_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"7,811890","1,427983","MB/sec",test_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"87550672,800000","16333550,641930","B/op",test_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.count","thrpt",1,10,"376,000000",NaN,"counts",test_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.time","thrpt",1,10,"10686,000000",NaN,"ms",test_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df","thrpt",1,10,"0,072625","0,000395","ops/s",test_id,stream_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"546,576181","2,391371","MB/sec",test_id,stream_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"10602317592,800000","24238,124135","B/op",test_id,stream_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"533,508511","11,442713","MB/sec",test_id,stream_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"10348920832,000000","227466990,732807","B/op",test_id,stream_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"5,308048","0,484024","MB/sec",test_id,stream_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"102969788,000000","9554029,814619","B/op",test_id,stream_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.count","thrpt",1,10,"285,000000",NaN,"counts",test_id,stream_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.time","thrpt",1,10,"8311,000000",NaN,"ms",test_id,stream_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df","thrpt",1,10,"0,106551","0,001209","ops/s",test_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"601,612126","5,365407","MB/sec",test_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"7521825033,200000","33685,634657","B/op",test_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"588,511486","11,265558","MB/sec",test_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"7357910220,800000","104993586,261796","B/op",test_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"3,239730","0,555889","MB/sec",test_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"40511540,400000","7042932,793273","B/op",test_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"6,957048","1,215383","MB/sec",test_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"86972096,000000","15056204,023337","B/op",test_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.count","thrpt",1,10,"397,000000",NaN,"counts",test_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.time","thrpt",1,10,"11015,000000",NaN,"ms",test_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_tfidf","thrpt",1,10,"30,040221","0,307332","ops/s",devel_1_000_id,foreach_java
