"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: dataset","Param: stringManipulation"
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Survivor_Space","thrpt",1,10,"0,012544","0,022463","MB/sec",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"66030,133333","118219,464596","B/op",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.count","thrpt",1,10,"30,000000",NaN,"counts",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.time","thrpt",1,10,"520,000000",NaN,"ms",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf","thrpt",1,10,"0,368917","0,000545","ops/s",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"430,761380","0,636665","MB/sec",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"1309095573,200000","610,408027","B/op",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Eden_Space","thrpt",1,10,"421,634874","0,623197","MB/sec",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"1281359872,000000","0,000000","B/op",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Old_Gen","thrpt",1,10,"1,811443","0,002677","MB/sec",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"5505024,000000","0,000000","B/op",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Survivor_Space","thrpt",1,10,"0,022849","0,027123","MB/sec",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"69453,800000","82429,222907","B/op",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.count","thrpt",1,10,"40,000000",NaN,"counts",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.time","thrpt",1,10,"687,000000",NaN,"ms",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf","thrpt",1,10,"0,054519","0,000703","ops/s",test_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"281,973861","3,473504","MB/sec",test_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"5767764712,000000","6106,073714","B/op",test_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Eden_Space","thrpt",1,10,"248,690698","3,085179","MB/sec",test_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"5086956748,800000","1069994,117467","B/op",test_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Old_Gen","thrpt",1,10,"1,332829","0,016418","MB/sec",test_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"27262976,000000","0,000000","B/op",test_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Survivor_Space","thrpt",1,10,"0,022962","0,038156","MB/sec",test_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"471859,200000","788232,739308","B/op",test_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.count","thrpt",1,10,"40,000000",NaN,"counts",test_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.time","thrpt",1,10,"1457,000000",NaN,"ms",test_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf","thrpt",1,10,"0,085010","0,005950","ops/s",test_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"384,916897","24,618000","MB/sec",test_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"5211541974,400000","119769,013470","B/op",test_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Eden_Space","thrpt",1,10,"375,699312","24,012830","MB/sec",test_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"5086747033,600000","899888,000226","B/op",test_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Old_Gen","thrpt",1,10,"2,013604","0,128797","MB/sec",test_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"27262976,000000","0,000000","B/op",test_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Survivor_Space","thrpt",1,10,"0,046775","0,046959","MB/sec",test_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"629145,600000","625249,682026","B/op",test_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.count","thrpt",1,10,"40,000000",NaN,"counts",test_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.time","thrpt",1,10,"1484,000000",NaN,"ms",test_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf","thrpt",1,10,"0,005845","0,000076","ops/s",train_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"281,933069","3,639187","MB/sec",train_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"51472572613,600000","22525,390153","B/op",train_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Eden_Space","thrpt",1,10,"279,886271","4,813358","MB/sec",train_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"51098471628,800000","478861286,127899","B/op",train_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Old_Gen","thrpt",1,10,"0,206763","0,002669","MB/sec",train_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"37748736,000000","0,000000","B/op",train_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Survivor_Space","thrpt",1,10,"0,522266","0,006726","MB/sec",train_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"95350275,200000","19934,152618","B/op",train_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.count","thrpt",1,10,"400,000000",NaN,"counts",train_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.time","thrpt",1,10,"8802,000000",NaN,"ms",train_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf","thrpt",1,10,"0,009369","0,000057","ops/s",train_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"402,693991","2,561244","MB/sec",train_id,foreach_apache
