"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: param","Param: stringManipulation"
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.alloc.rate","thrpt",1,5,"495,959141","8,553155","MB/sec",devel_100_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,5,"2530349202,666667","66527,171188","B/op",devel_100_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.ZHeap","thrpt",1,5,"365,098143","51,226507","MB/sec",devel_100_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.ZHeap.norm","thrpt",1,5,"1862550596,266666","237707007,343721","B/op",devel_100_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.count","thrpt",1,5,"132,000000",NaN,"counts",devel_100_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.time","thrpt",1,5,"10031,000000",NaN,"ms",devel_100_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",devel_100_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df","thrpt",1,5,"0,388943","0,006615","ops/s",devel_100_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.alloc.rate","thrpt",1,5,"630,952786","12,398051","MB/sec",devel_100_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,5,"2011386080,800000","54449,338104","B/op",devel_100_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.ZHeap","thrpt",1,5,"447,862276","23,621098","MB/sec",devel_100_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.ZHeap.norm","thrpt",1,5,"1427741081,600000","77211307,931722","B/op",devel_100_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.count","thrpt",1,5,"132,000000",NaN,"counts",devel_100_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.time","thrpt",1,5,"8472,000000",NaN,"ms",devel_100_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",devel_100_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf","thrpt",1,5,"27,171506","0,928955","ops/s",devel_1_000_id,foreach_java
